gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
ARHGEF2,0.3206348,7.765078691183194e-23,9.261121693526447e-22,9.837454,ENSG00000116584
PRR12,0.68705964,8.46298603835842e-23,1.0086882082772727e-21,9.82879,ENSG00000126464
SENP2,0.26383182,8.797033890628167e-23,1.0478168074110331e-21,9.824889,ENSG00000163904
TSPAN3,0.37097493,8.944256063583881e-23,1.0650040934833758e-21,9.823217,ENSG00000140391
ENSG00000256824,0.9376006,9.273987469295161e-23,1.103904647701783e-21,9.819569,ENSG00000256824
LIMS1,0.4052903,9.288800359342394e-23,1.1053065316482851e-21,9.819407,ENSG00000169756
CATSPER2,0.4955854,9.396587014610337e-23,1.1177671557529945e-21,9.818244,ENSG00000166762
GGNBP2,0.34871498,9.519118497672558e-23,1.1319730331066401e-21,9.816937,ENSG00000278311
PKNOX2,2.2025912,9.543674233110795e-23,1.1345225797454465e-21,9.816678,ENSG00000165495
KPNB1,0.25786093,9.749522362015175e-23,1.1586149094180698e-21,9.814526,ENSG00000108424
TMEM192,0.38090047,1.038165159195542e-22,1.2333334348002635e-21,9.8081875,ENSG00000170088
ARHGAP24,2.4862769,1.0544610599953332e-22,1.2522842829925008e-21,9.806616,ENSG00000138639
MYLK-AS1,0.8037005,1.0608484167866503e-22,1.2594591637442292e-21,9.8060055,ENSG00000239523
RSRC2,0.2648936,1.0730948013310676e-22,1.2735830477857508e-21,9.804847,ENSG00000111011
PSMB1,0.2958034,1.0796727983822328e-22,1.2809724970574735e-21,9.80423,ENSG00000008018
PLCG1,0.44881642,1.133985920188894e-22,1.3449737891178505e-21,9.7992735,ENSG00000124181
ENSG00000286162,0.35846353,1.1473191598972808e-22,1.3603446841478278e-21,9.798092,ENSG00000286162
AAMDC,0.37105107,1.1784052729972192e-22,1.3963340812218206e-21,9.795391,ENSG00000087884
ZMAT3,0.86981976,1.1784396988890076e-22,1.3963340812218206e-21,9.795388,ENSG00000172667
HNRNPM,0.26796556,1.1907240120330955e-22,1.4104307978578097e-21,9.79434,ENSG00000099783
ZBTB11,0.50017196,1.1955683843671468e-22,1.4157084881813512e-21,9.79393,ENSG00000066422
AMBRA1,0.3545029,1.2313772654855678e-22,1.457636833252942e-21,9.790947,ENSG00000110497
XPOT,0.57292664,1.265012120924094e-22,1.4969652696486224e-21,9.788221,ENSG00000184575
SHPRH,0.34717977,1.2811589114675126e-22,1.5155801911746286e-21,9.786939,ENSG00000146414
