gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
CNTN6,0.070749894,0.20166319579643888,0.6242952121526893,1.2768273,ENSG00000134115
DCLRE1A,0.20768107,0.20177907287620667,0.6245739549055883,1.2764993,ENSG00000198924
ENSG00000235939,-0.066623315,0.20178754271968968,0.6245739549055883,1.2764753,ENSG00000235939
ENSG00000274421,-0.08734209,0.20216582920913528,0.6256384644877643,1.2754053,ENSG00000274421
ARHGEF26,0.69160587,0.2022051149368157,0.625660598910175,1.2752942,ENSG00000114790
PRPS2,0.120478205,0.2022073472474717,0.625660598910175,1.275288,ENSG00000101911
NRIP3,0.09933651,0.20227387834811272,0.6258132771188274,1.2750999,ENSG00000175352
TNFAIP8,1.0288211,0.20237660867985863,0.6260779163339858,1.2748097,ENSG00000145779
ZNF777,0.005132438,0.202406094837825,0.62611593961727,1.2747264,ENSG00000196453
DSN1,0.2009443,0.20244496773816834,0.626182990594817,1.2746166,ENSG00000149636
ENSG00000251293,-0.017856443,0.20251289666454741,0.6263398958081627,1.2744248,ENSG00000251293
ENSG00000285981,4.9864902,0.20264030816174894,0.6266807287910313,1.2740653,ENSG00000285981
CDC42-IT1,0.7631479,0.20269128910970247,0.626785156608279,1.2739214,ENSG00000230068
PEX11A,0.6903213,0.20282280941186603,0.6271385985313236,1.2735504,ENSG00000166821
PRB2,0.9540627,0.2029552871990029,0.6274949407735496,1.2731769,ENSG00000121335
KDM6B,0.17005797,0.20307976628629332,0.62782649431283,1.2728261,ENSG00000132510
ENSG00000286810,0.4371632,0.20328720557453483,0.6284144329813595,1.2722418,ENSG00000286810
ZNF597,0.19207193,0.2033158918209187,0.6284144329813595,1.2721611,ENSG00000167981
ENSG00000250049,0.8336325,0.20332171907484886,0.6284144329813595,1.2721447,ENSG00000250049
UNG,-0.0056545436,0.2034279757144577,0.6286894798603662,1.2718456,ENSG00000076248
CCDC144NL-AS1,0.6249557,0.2034840345279485,0.6287906446937483,1.2716879,ENSG00000233098
DEPDC4,0.01717061,0.20398907000587918,0.6302630476923269,1.2702683,ENSG00000166153
SLC26A6,0.24570729,0.20414997467428597,0.6307066755336925,1.2698165,ENSG00000225697
POFUT2,-0.20283593,0.2041765013438871,0.6307351121518298,1.2697421,ENSG00000186866
CDKN2AIP,-0.070334576,0.20461297736812945,0.632029838134402,1.2685181,ENSG00000168564
SLC47A2,0.9500848,0.20463279235766652,0.6320374277145944,1.2684627,ENSG00000180638
PSMC3IP,1.181988,0.20472242758067072,0.6322606474187771,1.2682115,ENSG00000131470
SLC22A16,2.1069946,0.20484814513719118,0.6325952557658727,1.2678595,ENSG00000004809
ENSG00000260733,-0.193119,0.20487654074007045,0.6326292911658281,1.26778,ENSG00000260733
MAP3K20,0.8995284,0.20491981573347384,0.6327092623155472,1.2676588,ENSG00000091436
EOLA1-DT,0.07174338,0.20514215556247695,0.6333050705256792,1.2670367,ENSG00000241769
ZDHHC4,-0.1419409,0.2052220241927949,0.6334323225552626,1.2668134,ENSG00000136247
ZNF213,-0.2412204,0.2052260859133913,0.6334323225552626,1.2668021,ENSG00000085644
SPPL2B,-0.34753302,0.205240979388855,0.6334323225552626,1.2667603,ENSG00000005206
ENSG00000255946,1.3870484,0.20528837294670654,0.633524894968682,1.2666279,ENSG00000255946
ENSG00000287866,-0.3003454,0.20533803187209598,0.633624442078539,1.2664891,ENSG00000287866
GSDME,0.64317846,0.20550196827138834,0.6340765756035753,1.266031,ENSG00000105928
PLCD1,0.6665708,0.20563842859638615,0.6344438622311144,1.2656499,ENSG00000187091
PVALEF,-0.11032812,0.20577947661328388,0.6348244659663869,1.2652563,ENSG00000225180
COL6A1,-0.23799509,0.20579666033909783,0.6348244659663869,1.2652084,ENSG00000142156
LYNX1,-0.2659136,0.2058794281445816,0.6350259837018641,1.2649775,ENSG00000180155
CCDC88B,0.99592334,0.2059590527791454,0.6352177731487584,1.2647554,ENSG00000168071
MAMDC2-AS1,0.21314453,0.20600701931758425,0.6352580951382011,1.2646216,ENSG00000204706
SMPD3,0.5844859,0.2063584177490242,0.6362339294731133,1.2636424,ENSG00000103056
MAP6D1,-0.20012592,0.20652158536410514,0.6366830891776984,1.2631881,ENSG00000180834
DUSP14,0.64499533,0.2066068323426823,0.6368919725077673,1.2629509,ENSG00000276023
TGFBR2,0.16539925,0.2067855711123059,0.637373408973653,1.2624537,ENSG00000163513
PRRX1,0.8586927,0.2068100770477288,0.637373408973653,1.2623856,ENSG00000116132
ENSG00000285908,0.45897725,0.20681552309743245,0.637373408973653,1.2623705,ENSG00000285908
ENSG00000261094,0.45039794,0.2069853104995646,0.6378426816105405,1.2618985,ENSG00000261094
ENSG00000263551,0.68282175,0.20708069001043017,0.6380826000389087,1.2616335,ENSG00000263551
FAM106C,1.1345048,0.20740612848806295,0.6390313039860677,1.26073,ENSG00000288235
ANKRD30B,0.2585634,0.20755442586249373,0.6394341107119994,1.2603186,ENSG00000180777
POLR3GL,-0.1830959,0.2076987028862739,0.6398244644242813,1.2599187,ENSG00000121851
ENSG00000282022,0.17423299,0.20792140534596004,0.6404274085665929,1.2593017,ENSG00000282022
KLHL17,0.5682485,0.2082254524415329,0.641284375733832,1.2584599,ENSG00000187961
GRIK1-AS1,1.3345656,0.20850836388166039,0.6421013654989021,1.2576777,ENSG00000174680
ENSG00000272156,0.7660603,0.20866591100700627,0.6425321904090582,1.2572423,ENSG00000272156
PRDM8-AS1,-0.24716121,0.20871981648515314,0.6426438320528831,1.2570934,ENSG00000248719
C17orf97,0.6584917,0.20924798349833296,0.6441573732471457,1.255636,ENSG00000187624
CEP131,0.26585734,0.2092864333747546,0.6441705504684332,1.25553,ENSG00000141577
TDRP,0.031679876,0.20951357506606294,0.6448151716089496,1.2549042,ENSG00000180190
LINC00871,1.2369059,0.20954060581288225,0.6448438589299078,1.2548296,ENSG00000258700
LINC02572,1.0553782,0.20971292888752469,0.6452430171690777,1.2543552,ENSG00000229536
RTN1,0.056849103,0.20972347325596052,0.6452430171690777,1.2543262,ENSG00000139970
ENSG00000233420,0.48539364,0.20982847942775562,0.6455115404632847,1.2540373,ENSG00000233420
DAP,-0.036580656,0.210039523867118,0.6459359305376896,1.2534567,ENSG00000112977
ENSG00000286475,2.1367157,0.21004503142986286,0.6459359305376896,1.2534416,ENSG00000286475
FRZB,0.968578,0.21005512889972489,0.6459359305376896,1.2534139,ENSG00000162998
MLLT11,-0.20619574,0.21025026261848878,0.646426797472297,1.2528776,ENSG00000213190
ZNF831,1.0231675,0.210554473346391,0.6472966209658961,1.2520423,ENSG00000124203
GRPEL2-AS1,0.5239519,0.2106924380033579,0.6476222397921888,1.2516637,ENSG00000253618
ZNF324B,0.4275679,0.2107269393837392,0.6476736149945734,1.251569,ENSG00000249471
C3orf14,-0.18120493,0.2108479565181003,0.6479361796554197,1.2512372,ENSG00000114405
ARHGAP29,0.4887395,0.21090503146115192,0.6480568781066215,1.2510808,ENSG00000137962
TSC22D1-AS1,0.5323027,0.21099434854632082,0.648276619632827,1.2508359,ENSG00000278156
CCDC154,0.44760665,0.21106849328860555,0.648449711240694,1.2506328,ENSG00000197599
ENSG00000262580,0.38113618,0.21127675190062,0.6490347667430504,1.2500623,ENSG00000262580
GET3,-0.021133775,0.21136065018795236,0.6492377252103696,1.2498327,ENSG00000198356
PNPO,0.6555441,0.21139061969876682,0.6492750100777307,1.2497507,ENSG00000108439
ENSG00000285679,0.087580875,0.21148193037240814,0.649500678873155,1.2495009,ENSG00000285679
ENSG00000259994,0.39648005,0.2117301811396859,0.6502082614201099,1.248822,ENSG00000259994
ENSG00000287029,0.16397503,0.21218523798704791,0.6515507577655919,1.2475791,ENSG00000287029
ENSG00000266900,1.0672019,0.21241048634338722,0.6521324307534077,1.2469646,ENSG00000266900
ENSG00000266538,0.16723427,0.21266554432756402,0.6528604502196493,1.2462693,ENSG00000266538
TACC3,0.76229894,0.2127081526805782,0.6529362042998831,1.2461532,ENSG00000013810
MAD2L2,0.02883878,0.21285779386557668,0.6533404695467738,1.2457457,ENSG00000116670
ZNF668,0.13036023,0.21297923046441591,0.653658103478617,1.2454151,ENSG00000167394
AIG1,-0.012589093,0.2130983981587573,0.6539221470951024,1.2450907,ENSG00000146416
BAP1,-0.1203301,0.21310118085879615,0.6539221470951024,1.2450832,ENSG00000163930
RAB11FIP1,0.7400232,0.2133772622417408,0.6547141546091064,1.2443323,ENSG00000156675
VWF,0.14973012,0.21351888298615385,0.6550397235275279,1.2439475,ENSG00000110799
ALDH1L1,2.1175358,0.21351934742799705,0.6550397235275279,1.2439462,ENSG00000144908
GOLGA8N,-0.20444018,0.21431321273761583,0.6573643924018252,1.2417923,ENSG00000232653
